recipient_name,year_reported,candidate_or_measure,corrected_name,committee_id,candidate_office_sought,support_or_oppose
"Neighborhoods, Not Stadiums. A political action committee in Support of Ray Ellis for Council 2016 sponsored by and with Major Funding from the Lincoln Club of San Diego County (political committee)",2016,Ray Ellis,"Neighborhoods, Not Stadiums. A political action committee in Support of Ray Ellis for Council 2016 sponsored by and with Major Funding from the Lincoln Club of San Diego County (political committee)",1385401,San Diego City Council District 1,Support
Nicole Villa,2016,Nicole Villa,Nicole Villa,,Democratic Party Central Committee District 78,
No Downtown Stadium-Jobs and Streets First! No on C with major funding from the San Diego Lodging Industry Association PAC,2016,C: Downtown stadium initiative,No Downtown Stadium-Jobs and Streets First! No on C with major funding from the San Diego Lodging Industry Association PAC,1386553,,Oppose
Measure P,2016,P: Adopting an Ordinance Enacting a Temporary 1/2 Cent Sales Tax (Chula Vista),P: Adopting an Ordinance Enacting a Temporary 1/2 Cent Sales Tax (Chula Vista),,,
"Salas Ballot Measure Committee, For a Better, Safer Chula Vista",2016,P: Adopting an Ordinance Enacting a Temporary 1/2 Cent Sales Tax (Chula Vista),P: Adopting an Ordinance Enacting a Temporary 1/2 Cent Sales Tax (Chula Vista),,,
Phil Thalheimer for City Council,2016,Phil Thalheimer ,Phil Thalheimer for City Council,1255438,San Diego City Council District 1,Support
"Protect Neighborhood Services Now, Sponsored by San Diego Municipal Employees Association",2016,,"Protect Neighborhood Services Now, Sponsored by San Diego Municipal Employees Association",1326869,,
Rafael Castellanos,2016,Rafael Castellanos,Rafael Castellanos ,,San Diego City Attorney,
Rafael Castellanos for City Attorney 2016,2016,Rafael Castellanos,Rafael Castellanos for City Attorney 2016,1377483,San Diego City Attorney,Support
Randy Voepel,2016,Randy Voepel ,Randy Voepel ,,CA Assembly District 71,
Ray Ellis,2016,Ray Ellis,Ray Ellis,,San Diego City Council District 1,
Ray Ellis for Council 2016,2016,Ray Ellis,Ray Ellis for Council 2016,1377462,San Diego City Council District 1,Support
"Rebecca Paida for San Diego City Council District 9, 2016",2016,Rebecca Paida ,"Rebecca Paida for San Diego City Council District 9, 2016",1378621,San Diego City Council District 9,Support
Rebuild San Diego-Yes on H- sponsored by the San Diego Regional Chamber of Commerce,2016,H: Charter amendment: infrastructure fund,Rebuild San Diego-Yes on H- sponsored by the San Diego Regional Chamber of Commerce,1383370,,Support
Reelect David Alvarez 2014 for City Council District 8,2016,David Alvarez,Reelect David Alvarez 2014 for City Council District 8,1366059,San Diego City Council District 8,Support
Republican Party of San Diego,2016,,Republican Party of San Diego County,741949,,
Republican Party of San Diego County,2016,,Republican Party of San Diego County,741949,,
Ricardo Flores,2016,Ricardo Flores,Ricardo Flores,,San Diego City Council District 9,
Richard Flores,2016,Ricardo Flores,Ricardo Flores,,San Diego City Council District 9,
Ricardo Lara,2016,Ricardo Lara,Ricardo Lara,,CA Senate District 33,
Rickie Brown,2016,Rickie Brown,Rickie Brown,,Democratic Party Central Committee District 80,
Rising Majority,2016,,Rising Majority,1360628,,
Bob Hickey,2016,Robert Hickey,Robert Hickey,,San Diego City Attorney,
Robert Hickey,2016,Robert Hickey,Robert Hickey,,San Diego City Attorney,
Robert Lovingood,2016,Robert Lovingood ,Robert Lovingood ,,San Bernardino County Supervisor District 1,
Roberto Alcantar,2016,Roberto Alcantar,Roberto Alcantar,,Democratic Party Central Committee District 80,
Rocky Chavez,2016,Rocky Chavez,Rocky Chavez,,CA Assembly District 76,
Run Women Run,2016,,Run Women Run,1311775,,
Run Women Run PAC,2016,,Run Women Run,1311775,,
Rusty Bailey,2016,Rusty Bailey,Rusty Bailey ,,Riverside Mayor,
Ruth Martin,2016,Ruth Martin,Ruth Martin,,Democratic Party Central Committee District 80,
Ryan McEachron,2016,Ryan McEachron,Ryan McEachron ,,Victorville City Council,
"San Diegans for Full Voter Participation, Yes on K & L",2016,"K: Charter amendment requiring run-off election for the offices of mayor, city attorney and councilmember","San Diegans for Full Voter Participation, Yes on K and L, sponsored by Community and Voter rights organizations",1389015,,Support
"San Diegans for Full Voter Participation, Yes on K and L, Sponsored by Community and Voter Rights Organizations",2016,"K: Charter amendment requiring run-off election for the offices of mayor, city attorney and councilmember","San Diegans for Full Voter Participation, Yes on K and L, sponsored by Community and Voter rights organizations",1389015,,Support
"San Diegans for Full Voter Participation, Yes on K and L, sponsored by community and Voter rights organizations",2016,"K: Charter amendment requiring run-off election for the offices of mayor, city attorney and councilmember","San Diegans for Full Voter Participation, Yes on K and L, sponsored by Community and Voter rights organizations",1389015,,Support
"San Diegans for Full Voter Participation, Yes on K & L",2016,"L: Charter Amendment Requiring Citizens' Initiative and Referendum Measures to be Placed on November General Election Ballots, Unless the Council Decides to Submit Them to Voters Earlier","San Diegans for Full Voter Participation, Yes on K and L, sponsored by Community and Voter rights organizations",1389015,,Support
"San Diegans for Full Voter Participation, Yes on K and L, Sponsored by Community and Voter Rights Organizations",2016,"L: Charter Amendment Requiring Citizens' Initiative and Referendum Measures to be Placed on November General Election Ballots, Unless the Council Decides to Submit Them to Voters Earlier","San Diegans for Full Voter Participation, Yes on K and L, sponsored by Community and Voter rights organizations",1389015,,Support
San Diegans for Justice Supporting Rafael Castellanos for City Attorney 2016,2016,Rafael Castellanos,San Diegans for Justice Supporting Rafael Castellanos for City Attorney 2016,1384836,San Diego City Attorney,Support
San Diegans for Safe Neighborhoods Supporting Robert Hickey for City Attorney 2016 sponsored by and with major funding from the San Diego Regional Chamber of Commerce PAC/Lincoln Club San Diego County,2016,Robert Hickey,San Diegans for Safe Neighborhoods Supporting Robert Hickey for City Attorney 2016 sponsored by and with major funding from the San Diego Regional Chamber of Commerce PAC/Lincoln Club San Diego County,1388405,San Diego City Attorney,Support
San Diegans for the Minimum Wage,2016,I: Referendum of ordinance regarding earned sick leave and minimum wage,San Diegans for the Minimum Wage-Yes on Prop. I,1382831,,Support
San Diegans for the Minimum Wage - Yes on Prop. I,2016,I: Referendum of ordinance regarding earned sick leave and minimum wage,San Diegans for the Minimum Wage-Yes on Prop. I,1382831,,Support
San Diegans for the Minimum Wage-Yes on Prop. I,2016,I: Referendum of ordinance regarding earned sick leave and minimum wage,San Diegans for the Minimum Wage-Yes on Prop. I,1382831,,Support
"San Diego City Fire Fighters, Local 145 PAC",2016,,"San Diego City Fire Fighters, Local 145 PAC",76-1453,,
San Diego County Building and Construction Trades Council Independent Expenditure PAC,2016,,San Diego County Building and Construction Trades Council Independent Expenditure PAC,1384904,,
San Diego County Democratic Central Committee,2016,,San Diego County Democratic Central Committee,741906,,
San Diego Co. Democratic Party,2016,,San Diego County Democratic Party,741906,,
SAN DIEGO COUNTY DEMOCRATIC PARTY,2016,,San Diego County Democratic Party,741906,,
San Diego County Democratic Party,2016,,San Diego County Democratic Party,741906,,
San Diego Democratic Party,2016,,San Diego County Democratic Party,741906,,
SD County Democrats For Environmental Action,2016,,San Diego County Democrats for Environmental Action,1369147,,
SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,2016,,SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,99-1330,,
SAN DIEGO COUNTY TAXPAYERS ASSOCIATION PAC,2016,,San Diego County Taxpayers Association PAC,981406,,
San Diego County Taxpayers Association PAC,2016,,San Diego County Taxpayers Association PAC,981406,,
San Diego Democrats for Equality,2016,,San Diego Democrats for Equality,,,
San Diego Forward,2016,,San Diego Forward,1380361,,
San Diego Jobs Political Action Committee (SD Jobs PAC) sponsored by the Downtown San Diego Partnership,2016,,San Diego Jobs Political Action Committee (SD Jobs PAC) sponsored by the Downtown San Diego Partnership,1335900,,
San Diego Police Officers Assn. Political Action Committee,2016,,San Diego Police Officers Assn. Political Action Committee,811267,,
San Diego Police Officers Association PAC,2016,,San Diego Police Officers Assn. Political Action Committee,811267,,
San Diego Port Tenants Political Action Committee (Port Tenants PAC),2016,,San Diego Port Tenants Political Action Committee (Port Tenants PAC),1337894,,
San Diego Regional Chamber of Commerce Political Action Committee,2016,,San Diego Regional Chamber of Commerce Political Action Committee (SD Chamber PAC),1335312,,
San Diego Regional Chamber of Commerce Political Action Committee (SD Chamber PAC),2016,,San Diego Regional Chamber of Commerce Political Action Committee (SD Chamber PAC),1335312,,
San Diego Restaurant and Beverage Political Action Committee sponsored by California Restaurant Association,2016,,San Diego Restaurant and Beverage Political Action Committee sponsored by California Restaurant Association,1258295,,
"San Diego Socialist Campaign, The",2016,,"San Diego Socialist Campaign, The",1377447,,
San Diego Unite,2016,,San Diego Unite,1373239,,
San Diego Unite Here Local 30 Candidate PAC,2016,,San Diego Unite Here Local 30 Candidate PAC,1386049,,
San Diego Works! Sponsored by San Diego-Imperial Counties Labor Council AFL-CIO,2016,,San Diego Works! Sponsored by San Diego-Imperial Counties Labor Council AFL-CIO,744131,,
Sandy Naranjo,2016,Sandy Naranjo,Sandy Naranjo,,Democratic Party Central Committee District 80,
Santa Clara County Republican Party,2016,,Santa Clara County Republican Party ,741925,,
Sarah Saez,2016,Sarah Saez,Sarah Saez,,San Diego City Council District 9,
Sarah Saez for District 9 City Council 2016,2016,Sarah Saez,Sarah Saez for District 9 City Council 2016,1379382,San Diego City Council District 9,Support
Save San Diego High-Yes on Measure I,2016,I: Charter amendment regarding Balboa Park and San Diego High School,Save San Diego High-Yes on Measure I,1388894,,Support
Scott Peters,2016,Scott Peters ,Scott Peters,,U.S. Representative District 52,
Scott Sanborn City Council 2016,2016,Scott Sanborn,Scott Sanborn City Council 2016,1378009,San Diego City Council District 3,Support
Scott Sherman,2016,Scott Sherman ,Scott Sherman ,,San Diego City Council District 7,
Scott Wiener,2016,Scott Wiener ,Scott Wiener ,,CA Senate District 11,
Service Employees Internation Union Local 221 Independent Expenditure PAC,2016,,Service Employees International Union Local 221 Independent Expenditure PAC ,1298155,,
Sharon Quirk-Silva,2016,Sharon Quirk-Silva,Sharon Quirk-Silva,,CA Assembly District 65,
Sherman for City Council 2016,2016,Scott Sherman ,Sherman for City Council 2016,1377498,San Diego City Council District 7,Support
State Affiliated Cops PAC (SAC-PAC),2016,,State Affiliated Cops Political Action Committee (SAC PAC),1235097,,
Steve Glazer,2016,Steven Glazer,Steven Glazer,,CA Senate District 7,
Suzie Ditmars,2016,Suzie Ditmars,Suzie Ditmars,,Democratic Party Central Committee District 78,
SYLVIA ARENAS,2016,Sylvia Arenas,Sylvia Arenas,,San Jose City Council District 8,
Taisha Brown,2016,Taisha Brown,Taisha Brown,,Democratic Party Central Committee District 79,
Tami Le Murillo for Council 2016,2016,Tami Le Murillo ,Tami Le Murillo for Council 2016,1384079,San Diego City Council District 9,Support
Tammy Endozo,2016,Tammy Endozo,Tammy Endozo,,Democratic Party Central Committee District 78,
The Infrastructure PAC of the Associated General Contractors,2016,,The Infrastructure PAC of the Associated General Contractors,94-0906,,
Todd Gloria,2016,Todd Gloria,Todd Gloria,,CA Assembly District 78,
Todd Gloria for Assembly 2016,2016,Todd Gloria,Todd Gloria for Assembly 2016,1376636,CA Assembly District 78,Support
Toni Atkins,2016,Toni Atkins,Toni Atkins,,CA Senate District 39,
Tony Thurmond,2016,Tony Thurmond,Tony Thurmond,,CA Assembly District 15,
Travis Knowles,2016,Travis Knowles ,Travis Knowles ,,Democratic Party Central Committee District 80,
UFCW Local 135 PAC,2016,,United Food and Commercial Workers Union Local 135 PAC,1252582,,
United Food and Commercial Workers Union Local 135 PAC,2016,,United Food and Commercial Workers Union Local 135 PAC,1252582,,
Urban Neighbors United supporting Ricardo Flores for City Council 2016 sponsrd by and w/ Major Funding from the SD Regional Chamber of Commerce PAC,2016,Ricardo Flores,Urban Neighbors United supporting Ricardo Flores for City Council 2016 sponsrd by and w/ Major Funding from the SD Regional Chamber of Commerce PAC,1383549,San Diego City Council District 9,Support
Victoria Barba,2016,Victoria Barba ,Victoria Barba ,,Democratic Party Central Committee District 80,
Vincent Sarmiento,2016,Vincent Sarmiento ,Vincent Sarmiento ,,Santa Ana City Council,
Vivian Moreno,2016,Vivian Moreno ,Vivian Moreno ,,Democratic Party Central Committee District 80,
"Vote Yes On C, with Major Funding by Chargers Football Company LLC",2016,C: Downtown stadium initiative,"Vote Yes On C, with Major Funding by Chargers Football Company LLC",1385031,,Support
William Rodriguez-Kennedy,2016,William Rodriguez-Kennedy,William Rodriguez-Kennedy,,Democratic Party Central Committee District 78,
Californians for Death Penalty Reform & Savings,2016,,,,,
